v1,v2
ham,Hello how are you doing today
spam,Congratulations! You won a free lottery prize claim now
ham,Can we meet tomorrow for project discussion
spam,Win cash now click this link immediately
ham,Please send me the assignment file
spam,Limited offer buy one get one free hurry up
ham,Are you coming to college today
spam,You have been selected for free vacation call now
ham,Let's have lunch after class
spam,URGENT! Your account has won reward money
ham,Good morning have a nice day
spam,Claim your free mobile recharge now
ham,Please share notes for exam preparation
spam,You are lucky winner click to claim prize
ham,Meeting starts at 10 AM don't be late
spam,Get instant loan approved apply now
ham,Can you help me with Python code
spam,Free gift voucher waiting for you
ham,Happy birthday wish you success
spam,Win brand new car enter contest now
ham,Call me when you reach home
spam,Lowest price medicines order now
ham,Submit project report before evening
spam,You received bonus money click here
ham,Thank you for your help yesterday
spam,Exclusive deal available only today
ham,Please check your email inbox
spam,Claim free tickets now limited seats
ham,See you in the library
spam,Your SIM won cash reward
ham,Let's start online class at 9
spam,Cheap loans with zero documents apply now
ham,Where are you now
spam,Free ringtone download now
ham,Can you send timetable photo
spam,Winner! claim your amount immediately
ham,We will go shopping this weekend
spam,Special discount on products buy now
ham,Need your signature on form
spam,Your ATM card eligible for reward
ham,Please bring calculator tomorrow
spam,Click here to earn money fast
ham,Let's prepare for viva together
spam,You are selected for lucky draw
ham,Reached home safely
spam,Get free cashback on recharge now
ham,Project guide asked for report
spam,Hot sale ends tonight order now
ham,Class cancelled today
spam,Your number won free laptop
